"";"question";"question_code"
"1";"На сколько именно, по Вашему мнению, выросли цены за прошедшие 12 месяцев (год)? (Карточка, один ответ.)";"q1"
"2";"Как Вы думаете, через год доллар по отношению к рублю будет стоить больше, меньше или столько же, сколько сейчас?";"q2"
"3";"Пол.";"q3"
"4";"Сколько лет Вам исполнилось?";"q4"
"5";"Сколько человек, включая Вас, проживает вместе с Вами в Вашей семье?";"q5"
"6";"Образование";"q6"
"7";"Материальное положение семьи";"q7"
"8";"Род занятий";"q8"
"9";"Работающие / неработающие";"q9"
"10";"Федеральные округа";"q10"
"11";"Ненулевой количественный доход семьи в предыдущем месяце";"q11"
"12";"Среднедушевой доход";"q12"
"13";"Тип населенного пункта";"q13"
"14";"Уровень производства";"q14"
"15";"Уровень жизни населения";"q15"
"16";"Ситуация с безработицей";"q16"
"17";"Ситуация с коррупцией";"q17"
"18";"Оценка изменения личного мат. положения за последний год";"q18"
"19";"Ожидания изменения личного мат. положения в ближайший год";"q19"
"20";"Оценка перспектив развития страны в ближайший год";"q20"
"21";"Оценка перспектив развития страны в ближайшие 5 лет";"q21"
"22";"Индекс крупных покупок";"q22"
"23";"Индекс потребительских настроений (ИПН)";"q23"
"24";"Индекс ожиданий";"q24"
"25";"Индекс текущего состояния";"q25"
